anio,sexo,esperanza_vida_nacer
2010,Hombres,73.5072601399722
2010,Mujeres,79.3179378188106
2019,Hombres,73.2808444300862
2019,Mujeres,80.4877272328627
2021,Hombres,69.0236437771434
2021,Mujeres,77.255127972999
